feature
Sucrose
Turanose
Maltulose
Maltose
Kojibiose
Isomaltose
Erlose
Melezitose
Raffinose
Maltotriose
Fructose
Glucose
Aspartic acid
Glutamic acid
Glycine
Alanine
GABA
Serine
Proline
Threonine
Asparagine
Glutamine
Histidine
Arginine
Valine
Methionine
Tyrosine
Isoleucine
Leucine
Phenylalanine
Tryptophan
Lysine
